student_id,movement,date,time,verification_status,rule_status,final_status,data_type
23SS1A0501,OUT,2026-09-01,18:05,Verified,Allowed,Completed,Synthetic
23SS1A0502,OUT,2026-09-01,18:07,Verified,Allowed,Completed,Synthetic
23SS1A0401,IN,2026-09-01,18:21,Verified,Allowed,Completed,Synthetic
23SS1A0301,OUT,2026-09-01,18:24,Verified,Exception,Human Review,Synthetic
23SS1A0101,IN,2026-09-01,18:29,Verified,Allowed,Completed,Synthetic
23SS1A6601,OUT,2026-09-01,18:32,Verified,Allowed,Completed,Synthetic
24SS1A0501,OUT,2026-09-01,18:35,Pending,Exception,Human Review,Synthetic
24SS1A0401,IN,2026-09-01,18:41,Verified,Allowed,Completed,Synthetic
24SS1A0301,OUT,2026-09-01,18:45,Verified,Allowed,Completed,Synthetic
24SS1A0101,IN,2026-09-01,18:51,Verified,Allowed,Completed,Synthetic
24SS1A6601,OUT,2026-09-01,18:56,Verified,Allowed,Completed,Synthetic
23SS1A0503,IN,2026-09-01,19:02,Verified,Allowed,Completed,Synthetic
